FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
1001,Autauga County,26320,1555578,1153500,27365,27699,175833,29964,62144,43574,10354,18024,146822,12414,4820,6396
1003,Baldwin County,112470,7871862,4952447,284056,473415,766943,138461,374324,604103,84000,101912,985687,41669,17450,22442
1005,Barbour County,10760,422777,304504,7119,13211,45466,10836,21668,11002,2105,4111,38043,8148,2910,3485
1007,Bibb County,9330,427841,322625,7969,8741,38555,12108,15393,25305,1579,4154,38775,5271,1990,2613
1009,Blount County,24670,1299464,980709,44268,19634,110324,23335,52400,55298,6038,11868,117867,11308,4600,6744
1011,Bullock County,4680,146123,110785,1154,6570,15247,4666,6227,1540,627,1405,10289,4208,1470,1905
1013,Butler County,8800,366150,266869,7463,11081,34019,15592,15690,6800,1166,3591,30341,7613,2680,3026
1015,Calhoun County,51740,2479524,1727437,74911,56421,314715,75064,108134,83020,11371,37309,224915,28311,11450,13965
1017,Chambers County,15400,615702,478011,3290,16582,52559,27898,24025,12926,2860,8045,51322,11737,4440,5097
1019,Cherokee County,10800,510237,355969,12360,11472,66709,15496,26857,11502,2634,6006,45939,5841,2340,2791
1021,Chilton County,19040,957001,717515,34516,20158,78124,22632,37484,32686,4675,8820,87692,10805,4180,6013
1023,Choctaw County,5400,248685,191186,2133,5708,26508,6299,11636,2453,805,2479,22056,3537,1350,1480
1025,Clarke County,10700,514836,376737,4449,21085,54652,12167,23081,14694,2124,7545,47633,8306,2860,3152
1027,Clay County,6040,301975,208181,9649,4069,29537,4942,12593,27300,706,5186,30749,3465,1360,1752
1029,Cleburne County,6260,313948,242939,8267,6805,29250,8901,12096,7952,1360,5502,28124,3248,1310,1781
1031,Coffee County,23340,1361634,948145,26076,44063,186976,21141,56393,48660,8061,14980,136690,12011,4630,6464
1033,Colbert County,25920,1394155,964827,35482,33735,152736,36541,66580,74975,8105,18045,142083,12990,5290,6238
1035,Conecuh County,5180,192612,147038,3470,4706,19945,6603,8845,1306,567,1533,16095,4347,1580,1726
1037,Coosa County,4300,199577,140609,3125,2842,23601,5350,9548,4932,942,1542,16835,2511,1030,1112
1039,Covington County,15900,786449,556168,21137,16505,78688,16958,35858,45257,3507,7006,73478,9969,3810,4657
1041,Crenshaw County,6170,264393,207202,5535,4750,25656,7946,10809,4589,927,1260,22199,4214,1580,1908
1043,Cullman County,37530,2120098,1530749,72236,75089,172958,39997,81855,133157,14591,25263,220072,17052,7160,10130
1045,Dale County,21720,1028503,765720,20391,19268,132029,21600,45416,16854,4055,8281,89148,14183,5330,6941
1047,Dallas County,16130,617700,443461,11249,16009,57188,26789,27036,19531,2611,8422,51889,18491,5920,6509
1049,DeKalb County,29530,1308202,983563,36672,29688,115106,33051,50595,54902,4625,13237,114361,18595,7160,11085
1051,Elmore County,40120,2348624,1626333,63977,60714,274667,41606,105188,118383,17808,37036,238253,18569,7200,9746
1053,Escambia County,15830,704865,497961,13021,20810,64158,15971,31653,22245,2794,7713,63284,11539,4180,5391
1055,Etowah County,45550,2286676,1569333,73790,59335,222780,75140,100105,77729,12608,33549,224204,27377,10590,13058
1057,Fayette County,6710,300572,229475,6239,2734,32298,6699,13486,5233,791,2220,23379,4001,1560,2004
1059,Franklin County,12540,591119,426068,17181,14391,48920,14269,22893,33902,1525,3954,54363,7473,2930,4623
1061,Geneva County,11240,486897,360405,13528,9647,54992,9359,21718,22891,1657,3705,42236,7024,2630,3338
1063,Greene County,3640,110821,86913,-1569,3333,14566,5606,5248,452,340,1133,7683,4251,1380,1562
1065,Hale County,6940,273351,215018,517,4203,27761,10644,11128,4975,1092,2722,20322,6104,2160,2518
1067,Henry County,7930,412097,305827,8468,11191,43218,6785,20729,16388,2522,4439,41257,4583,1720,2021
1069,Houston County,48910,2865926,1967518,76653,107679,241853,52312,113333,217284,20465,50049,353876,30760,11390,13916
1071,Jackson County,22670,1127159,817818,31482,34055,116976,29103,52470,37096,5167,12806,102165,11273,4730,5874
1073,Jefferson County,309110,22986409,15091330,533628,1873858,1398213,387788,707117,2036925,275875,697381,3339809,175381,65190,80630
1075,Lamar County,5680,261165,196389,5196,8036,28041,6383,11963,4601,420,1740,20241,3347,1280,1718
1077,Lauderdale County,41210,2510283,1574733,75514,127189,259116,57782,118199,145076,14492,29334,295341,17356,7470,8523
1079,Lawrence County,14530,705286,547663,13569,9390,79384,15685,29013,12085,2293,5056,60191,7701,3080,3837
1081,Lee County,71290,4609592,3204172,133238,202377,406786,95882,163678,282376,52694,103636,528975,32451,13100,16652
1083,Limestone County,47540,3355785,2469433,79062,101031,337453,47019,108519,149644,30364,48366,384571,17013,7110,9738
1085,Lowndes County,5120,203173,146136,2714,3924,21872,8957,8122,6928,828,2012,16829,5319,1780,1943
1087,Macon County,8060,291398,201936,2534,5561,45739,14112,13806,5953,1601,4475,24302,6269,2380,2367
1089,Madison County,189230,15343925,10596212,338830,1161174,1532001,200115,470495,621369,146852,314943,2033435,65490,28190,34185
1091,Marengo County,8890,418295,310997,5447,12042,38789,8090,18875,24664,2079,4861,40649,7133,2460,2803
1093,Marion County,11910,533326,396533,13029,10726,51248,14464,22448,19825,1356,4272,45177,7133,2800,3617
1095,Marshall County,42590,2367278,1585001,76039,147241,215675,43515,87328,173364,13727,39926,267035,25474,9730,15544
1097,Mobile County,188690,10066933,7167807,236781,387597,783828,318043,367715,598277,74202,155266,1119323,137712,48910,58782
1099,Monroe County,8700,370631,276571,3642,8340,37546,10970,17827,4319,1243,4312,31324,7164,2520,2850
1101,Montgomery County,104860,5798944,3926442,130610,287297,581418,167722,234646,361790,55557,120060,687380,79235,28140,35168
1103,Morgan County,55900,3372972,2279945,69990,229924,317654,59927,134010,207028,18646,56570,366900,26334,10610,14680
1105,Perry County,3940,124763,96176,67,1610,15027,6712,5993,404,511,1502,7892,4544,1500,1574
1107,Pickens County,7900,349231,259887,4477,7622,32498,10015,14228,10846,1138,3966,30483,6114,2160,2522
1109,Pike County,13700,680866,475270,11040,39813,63342,12982,27960,27200,3520,8979,73939,9324,3390,3907
1111,Randolph County,9970,461584,336303,9586,17249,49891,12075,20037,12933,2699,5368,42087,7114,2610,3348
1113,Russell County,25270,1018554,777910,9687,16963,110673,38869,35325,26974,6502,12044,77681,20936,7700,9860
1115,St. Clair County,41370,2420943,1827689,57688,65707,201968,48870,94865,79901,19789,35398,233883,17125,7150,9680
1117,Shelby County,103870,9058409,6130816,295231,637364,557491,105834,319008,672675,115331,275367,1223211,27587,11940,17183
1119,Sumter County,5230,179836,140719,1626,3135,18895,7131,8687,992,731,2251,13563,4738,1720,1780
1121,Talladega County,36520,1665112,1233808,28815,50022,182380,52027,71022,32619,9507,23356,145245,22767,8970,10537
1123,Tallapoosa County,18580,1021474,658266,31553,48229,108881,25218,49930,50668,10086,13723,111636,12022,4540,5473
1125,Tuscaloosa County,88620,5416940,3670786,89003,282373,471166,135382,196517,392208,46770,98295,641392,49639,18940,24189
1127,Walker County,26990,1382447,992521,31891,35358,132853,31149,63321,34596,5574,19802,129808,14456,5790,7412
1129,Washington County,6860,345128,271432,1288,4048,40469,11630,14576,3132,1402,5275,30084,4550,1660,1917
1131,Wilcox County,4660,166334,123209,1580,4136,16301,5878,7740,3473,533,1739,12316,5599,1770,1886
1133,Winston County,9800,550780,357766,17677,22547,42289,11299,21075,44915,3057,4922,62475,5466,2250,2880
2013,Aleutians East Borou,840,37978,30035,3052,498,607,1752,881,0,0,0,3648,299,130,172
2016,Aleutians West Censu,1890,137556,114108,4854,1817,4063,3774,1015,1318,490,319,16293,320,170,240
2020,Anchorage Municipali,148700,11985692,8343394,321660,579845,981435,278451,292690,722182,133062,117612,1692276,34896,17290,24735
2050,Bethel Census Area,7020,285887,233414,4526,2336,16072,13001,4325,2073,628,998,25559,5361,2340,3091
2060,Bristol Bay Borough,480,29578,20762,2160,247,2164,585,741,971,0,0,3653,97,60,58
2063,Chugach Census Area,3510,248120,172594,11919,12632,19502,5218,6369,5385,923,1144,30522,560,330,395
2066,Copper River Census,1420,80588,52862,1772,1757,13122,2951,3198,313,0,0,8219,303,180,246
2068,Denali Borough,1130,71792,54762,441,2194,8111,3012,2548,-2094,0,0,7511,128,80,79
2070,Dillingham Census Ar,2160,99322,72388,7044,1533,6374,2471,2277,1297,0,0,10948,1070,520,615
2090,Fairbanks North Star,47390,3370853,2398173,50798,111328,354427,66362,87800,164113,15783,23924,397518,10306,5130,8510
2100,Haines Borough,1310,71831,39380,2188,6233,9504,4113,2833,1332,0,440,8583,305,180,162
2105,Hoonah-Angoon Census,980,47933,25770,1415,1448,7076,2944,2271,3126,0,0,5171,299,170,189
2110,Juneau City and Boro,17060,1337243,865678,41096,55133,179817,27511,36392,56891,13391,9445,167336,2142,1330,1591
2122,Kenai Peninsula Boro,30690,2109178,1305766,61226,119931,231771,61855,84024,98973,12281,16747,263815,6782,3630,5008
2130,Ketchikan Gateway Bo,7240,453415,312392,13000,17474,47743,15121,16841,12462,3633,1933,55131,1535,850,1019
2150,Kodiak Island Boroug,6580,433158,280669,21812,18556,32649,11366,11451,21681,3394,2894,50870,1511,810,1189
2158,Kusilvak Census Area,2920,70387,58324,590,18,1967,7105,708,0,0,0,3287,3338,1350,1778
2164,Lake and Peninsula B,610,25554,19273,1040,124,592,1115,410,0,0,0,2197,324,160,207
2170,Matanuska-Susitna Bo,51310,3648581,2544588,104415,114051,372835,104680,98647,184607,29039,26648,430738,12014,5900,10206
2180,Nome Census Area,3810,214847,168339,4425,2639,10986,7082,3201,3853,673,682,24281,2227,1040,1244
2185,North Slope Borough,3570,208708,174306,2466,593,10109,2726,3659,877,738,1434,23668,965,440,893
2188,Northwest Arctic Bor,2530,138898,114776,2654,301,6953,5427,2084,0,0,0,13712,1544,690,1005
2195,Petersburg Borough,1950,113867,64970,12463,6448,12252,2837,5030,4041,488,729,12813,441,250,326
2198,Prince of Wales-Hyde,2360,133214,88200,5289,7115,11716,5354,4792,3594,334,378,14751,811,410,509
2220,Sitka City and Borou,4630,309929,189669,8796,17138,31822,8040,10705,23122,2286,2015,38478,750,460,533
2230,Skagway Municipality,650,32226,23006,-1389,1159,2805,4371,1255,-564,0,0,3266,65,60,44
2240,Southeast Fairbanks,3360,212105,148935,1824,4681,26305,4543,6800,15932,484,1906,22679,961,470,891
2275,Wrangell City and Bo,1080,58751,35491,1967,2330,8328,1854,3028,1961,0,0,5820,239,140,189
2282,Yakutat City and Bor,280,15892,11495,553,66,907,237,784,147,0,0,1624,81,40,48
2290,Yukon-Koyukuk Census,2490,93850,67332,2094,1114,11058,5008,2920,1090,0,0,7559,1291,690,709
4001,Apache County,28200,1092378,858775,14703,10841,132634,41701,40330,10853,2371,5050,78570,22225,8700,11924
4003,Cochise County,59140,2924555,1948145,61502,102984,500627,70664,151755,58285,17384,23039,271410,31134,11990,16963
4005,Coconino County,65350,4148007,2677361,114745,291441,348051,121010,141896,237199,50063,58197,497531,22851,10600,13491
4007,Gila County,24620,1261247,736170,24513,58234,198323,27922,87239,56589,12696,12581,125602,11301,4690,6504
4009,Graham County,14130,714464,560486,-2786,16030,91836,14486,25878,21016,4284,10750,63010,6653,2690,4593
4011,Greenlee County,3490,225046,182084,-4759,1692,35184,3214,5416,-78,292,507,20183,1075,450,822
4012,La Paz County,7670,312930,195491,6384,12685,45917,9427,17469,10212,1800,1515,29128,4138,1710,2287
4013,Maricopa County,2148890,167426717,112007219,4705605,15823266,9914232,3283961,4978257,11051796,2306336,2414580,23905192,756765,321660,486726
4015,Mohave County,99510,4905945,2759724,140569,307641,761140,196238,305254,262273,56920,37943,518659,39862,17660,21333
4017,Navajo County,47530,2121836,1485532,41253,59264,268332,64095,108719,82747,15855,23432,181160,31808,12320,18236
4019,Pima County,504400,31757170,20071410,897381,2166646,3243006,735075,1513352,1317581,299142,369181,3746569,203739,86390,114399
4021,Pinal County,197040,10521155,7424064,204170,365740,1173655,276882,542587,198120,102532,75293,957206,78991,32910,55903
4023,Santa Cruz County,23940,1069882,715349,49975,45372,87733,41629,39450,53221,6382,4958,99189,21751,7530,10637
4025,Yavapai County,122710,7787772,3847781,230700,884881,1150105,167331,555295,429777,102263,96755,937400,33051,16280,20198
4027,Yuma County,103730,4667292,3264658,96662,158687,388283,354695,143587,239887,27472,27305,408515,75082,29530,39909
5001,Arkansas County,7900,412292,281075,7855,31943,28607,7777,18815,33875,1669,6633,48477,4926,1870,2552
5003,Ashley County,8130,363419,262986,5773,7050,38011,12006,18624,6393,768,2954,31164,5303,2010,2451
5005,Baxter County,19620,992438,573466,34614,48483,141584,24624,66553,51196,5823,10638,102892,8011,3550,4348
5007,Benton County,134140,17203519,8276441,264518,1296023,510698,143016,261468,485233,104013,1352321,2473258,47940,19890,32309
5009,Boone County,16870,862242,564886,25802,50483,75851,25130,37243,57628,3162,7092,84953,8337,3510,4849
5011,Bradley County,4430,180032,135556,3578,2520,19143,4965,8074,4820,577,1564,13208,3394,1270,1756
5013,Calhoun County,2080,101455,79989,1030,1511,9734,2228,5080,2002,255,833,7956,995,420,523
5015,Carroll County,13220,582429,382076,20178,29658,54282,19094,31713,29682,2754,5471,55015,6944,2990,4190
5017,Chicot County,4330,180075,117855,2960,5965,16491,6319,9329,12151,663,1738,21340,3658,1290,1659
5019,Clark County,8870,415840,298962,8093,9998,46062,11453,21368,14744,1480,4863,38985,5028,2060,2510
5021,Clay County,6150,247978,182239,9785,5270,24138,7848,12252,10172,604,1250,22578,3390,1420,1828
5023,Cleburne County,11360,588618,358650,20624,28294,72893,18273,36583,33091,3474,8409,58362,5065,2110,2747
5025,Cleveland County,3300,167193,131012,1974,2587,18197,4322,7945,1712,341,1126,13706,1590,640,868
5027,Columbia County,9470,458272,333353,7056,15905,41679,10652,21764,10819,3058,6596,42065,6377,2410,3079
5029,Conway County,9080,433814,310924,9612,15958,45294,12620,20100,14036,1433,3819,37424,5077,1950,2700
5031,Craighead County,48050,2853106,1983634,110873,137477,175416,62896,94292,230585,21830,38109,343693,29304,10780,15268
5033,Crawford County,26200,1291873,949488,29209,36082,111662,36162,49882,60657,5409,13777,109457,14309,5610,8189
5035,Crittenden County,21930,980926,722265,26145,27888,70875,32589,34362,42257,5272,13101,95009,21120,7350,9158
5037,Cross County,7470,326058,247784,7444,8057,25956,10500,14113,16161,1350,3718,31292,5341,2010,2483
5039,Dallas County,2870,119639,89434,2191,3223,12710,2921,6579,2455,199,1018,9465,2023,750,929
5041,Desha County,5040,189161,147438,3688,3733,18461,7771,10990,7540,513,2447,18928,4146,1510,1929
5043,Drew County,7600,372401,260519,9630,10068,32010,10026,16131,27810,1576,4342,37029,4791,1860,2315
5045,Faulkner County,55230,3286047,2399555,75977,106641,266832,78270,116137,180071,23398,44890,340569,24034,9950,13962
5047,Franklin County,7340,338502,247539,5654,7724,38368,9611,15096,13657,985,1678,29118,4006,1560,2287
5049,Fulton County,4860,190875,139279,5900,5579,27558,6584,9824,7590,412,892,15657,2851,1140,1538
5051,Garland County,47350,2741501,1517627,78917,287676,286332,79847,154345,178118,18932,36333,327377,23997,10110,12236
5053,Grant County,7940,458061,339176,6877,11183,44735,10077,19433,11617,1849,4142,42296,3287,1370,1905
5055,Greene County,19150,958650,692012,35257,26772,68526,29269,34884,45408,4474,9124,90120,10727,4260,5988
5057,Hempstead County,8950,347702,271212,9294,6937,34253,9617,15834,5105,858,2466,25652,7194,2600,3599
5059,Hot Spring County,13820,628173,448978,18401,15260,66762,19956,29247,18152,1906,3949,53339,7550,3020,3932
5061,Howard County,5920,246711,182192,7153,6426,20988,5183,10429,13758,560,1723,21645,4301,1620,2320
5063,Independence County,16000,805948,600896,27846,20926,63650,23797,33431,38714,2953,8798,83080,8280,3400,5043
5065,Izard County,5700,220608,151534,6550,5483,29664,9895,12118,7981,735,1111,18106,2962,1220,1523
5067,Jackson County,6750,256302,186594,6832,5854,19758,8193,12326,7404,558,1495,21750,3990,1590,1983
5069,Jefferson County,31130,1252419,903695,10306,21831,151619,45008,62322,38807,5608,18581,108290,23185,8410,10329
5071,Johnson County,10790,451096,341828,11539,8584,47215,15894,18694,9561,1811,3085,34998,7090,2810,4159
5073,Lafayette County,2650,99107,81638,1686,866,10199,2870,4572,2167,200,651,9818,1861,740,820
5075,Lawrence County,6750,279823,202582,11010,4700,25115,9470,12451,10680,447,1935,25230,4232,1660,2288
5077,Lee County,3400,117361,72017,3109,2924,9992,4927,5720,12123,154,1223,12349,2904,1000,1117
5079,Lincoln County,5170,188315,138636,5568,2417,18519,4759,7917,8406,563,1665,15417,2548,1020,1275
5081,Little River County,5230,234681,179469,2984,3989,29207,5919,11672,460,457,1301,18815,3173,1230,1521
5083,Logan County,9100,376336,284801,8038,7580,41915,13834,16433,7774,905,1776,29066,5581,2170,3020
5085,Lonoke County,32900,1914299,1425856,40669,34748,186899,47643,69892,70605,10456,17029,186352,14875,6020,9073
5087,Madison County,7370,340232,254258,12926,15719,26907,7551,12601,13990,1220,1875,31720,4187,1690,2502
5089,Marion County,7160,295260,187990,9855,9901,46599,10571,20108,5038,816,1575,24667,3781,1570,2035
5091,Miller County,19020,923869,650763,33319,21173,81658,29120,36936,47378,4193,9319,93389,12681,4920,6022
5093,Mississippi County,16860,755754,571175,11249,11846,63164,32070,27498,27126,2727,8361,69013,14158,5040,6495
5095,Monroe County,2980,107728,81994,3112,1806,12578,3346,6225,3499,134,782,9792,2379,900,1058
5097,Montgomery County,3600,144698,90939,6386,5130,21094,4467,8441,3170,478,701,12164,2132,870,1075
5099,Nevada County,3540,135839,105643,970,2866,16745,4338,6651,2584,248,757,10081,2569,980,1185
5101,Newton County,3150,128603,82317,6038,4383,16605,4546,6925,8161,272,2972,9887,1776,710,927
5103,Ouachita County,10280,471368,352114,5533,9841,48331,11650,23598,8904,1594,4722,39540,6246,2530,2995
5105,Perry County,4280,195942,148757,7272,3794,23102,6020,9634,3289,536,937,16899,2117,840,1145
5107,Phillips County,7030,254955,177925,5135,3419,22448,11875,12129,12373,620,2871,22327,8082,2700,3289
5109,Pike County,4440,185830,137618,4876,5211,19364,4849,9029,7818,460,1162,14579,2714,1090,1495
5111,Poinsett County,9670,421387,303584,14788,9952,28136,12312,16348,25512,954,3534,40722,6735,2520,3389
5113,Polk County,8160,325800,235026,12773,8581,38184,13740,16983,14400,1099,2663,26287,4895,1970,2732
5115,Pope County,27720,1479460,1062539,27983,43138,127533,35949,58903,66598,6846,16189,141931,13356,5530,7666
5117,Prairie County,3470,165560,113363,4400,3292,15987,4650,8920,5983,369,1108,14987,1722,700,914
5119,Pulaski County,191430,12782467,8503145,298601,929929,973365,283044,486114,977328,118160,299341,1752952,100670,40200,51446
5121,Randolph County,7810,317129,241711,13657,10384,26635,9082,12968,8720,858,1769,29237,5056,2060,2769
5123,St. Francis County,9420,336389,243779,6159,6171,33705,13275,15001,14815,1015,3738,28542,9618,3280,3930
5125,Saline County,56140,3580684,2509248,95323,96358,343449,73377,167261,178466,27130,41095,366590,21065,8640,12674
5127,Scott County,4110,155689,116759,5774,3490,17392,4734,6269,1785,258,468,11358,3115,1130,1658
5129,Searcy County,3330,117050,86238,5006,4625,15324,4607,5724,3497,315,646,8846,2068,900,1061
5131,Sebastian County,57980,3117283,2158395,72399,161179,223949,82872,115115,183923,16677,41003,347250,32909,13010,18188
5133,Sevier County,6610,265507,217222,9619,4803,19543,5686,9269,6784,545,1813,18995,4912,1790,3062
5135,Sharp County,7210,286216,193173,14287,10268,37124,10511,15096,7020,1143,1996,23923,4604,1820,2363
5137,Stone County,5080,206997,129814,7600,7937,30887,9008,12346,6216,691,1906,18318,3119,1300,1537
5139,Union County,17790,1005436,693568,11505,48017,75563,27115,39639,35928,4426,15265,111722,11535,4400,5436
5141,Van Buren County,6910,295229,197017,7846,7152,42604,11378,18746,5526,1089,2391,23917,3618,1460,1925
5143,Washington County,110200,7220714,5145657,229202,486328,369733,123560,198000,463642,59643,108223,920226,49275,20360,30579
5145,White County,32850,1712574,1204092,43811,55675,152579,54915,69016,59913,8338,21322,170380,17763,7060,10199
5147,Woodruff County,2680,113408,80775,1693,1882,7483,3399,5454,6640,185,642,11101,1830,690,847
5149,Yell County,8850,376207,292096,9078,7258,33053,8398,15202,10365,1144,2183,28997,5554,2160,3391
6001,Alameda County,821520,97384739,72660773,2495525,8424800,4101751,3000702,1687057,3174565,2305736,1185476,17211930,139870,76470,84044
6003,Alpine County,530,34502,19332,524,1738,4721,1874,1618,728,564,184,4096,139,70,52
6005,Amador County,20950,1241814,750886,39894,70840,211183,55203,75057,36553,23239,9651,150384,3626,1980,2373
6007,Butte County,94910,5688634,3615792,258332,279810,583939,291454,228330,332446,74071,53956,659232,28866,14680,17775
6009,Calaveras County,22410,1536352,928223,64071,80376,225506,69019,85835,53578,31559,12540,180945,5048,2690,3173
6011,Colusa County,10830,636676,421739,16321,20955,38749,47609,19244,20930,5516,3150,63785,3931,1770,2912
6013,Contra Costa County,581740,71282692,48204075,2095430,6815762,3785589,2061934,1697564,3469518,1962631,1118265,12470971,102642,53420,68128
6015,Del Norte County,12200,563802,353722,20734,24980,82012,31299,24224,9120,4941,3283,56480,4610,2140,2863
6017,El Dorado County,97830,9878717,6124680,365315,715423,980247,313484,363660,744319,252144,120105,1536193,14866,8560,9957
6019,Fresno County,460890,25569366,18107923,870120,1071176,1896269,1675807,682852,1300856,376402,294431,2848250,241953,101280,153177
6021,Glenn County,13620,693488,485227,22855,23042,59658,36091,26228,19561,4738,4600,65253,5219,2370,4013
6023,Humboldt County,63700,3519917,2071418,226243,191119,358403,197684,147223,200256,41210,24154,401452,18131,10160,10824
6025,Imperial County,97690,4018060,2987979,106843,58434,252271,501217,70943,134009,35552,25832,337310,69218,29440,33270
6027,Inyo County,9000,569257,358671,18590,22588,76017,22915,25050,16650,6084,4555,62957,2288,1210,1649
6029,Kern County,399660,21660213,15390698,562322,1224519,1676853,1622366,532797,760947,287712,245151,2263325,219167,88980,139271
6031,Kings County,67690,3148205,2401537,54093,122607,274124,204659,76474,54202,38156,26977,284583,30837,13090,22172
6033,Lake County,29060,1423149,969518,63987,69429,157735,101768,67954,30929,19737,8940,146348,11626,5410,7029
6035,Lassen County,13470,629056,463830,9210,16520,95830,22231,22485,5173,6447,3894,58418,2976,1550,2015
6037,Los Angeles County,5028630,398890965,261517359,13949319,39848837,18043411,22152361,7497071,33147719,9441983,7657210,65361537,1636353,818900,932341
6039,Madera County,71790,3503689,2497075,124977,145447,328245,230800,120681,96016,47298,32633,340411,32485,13700,26061
6041,Marin County,135080,28819128,14403122,1401785,6535741,981651,422893,608307,2899425,604089,847752,6511646,11991,7530,9630
6043,Mariposa County,8050,460593,278074,14708,23898,73393,30456,25489,7855,5767,3027,50387,2123,1160,1223
6045,Mendocino County,43410,2444954,1417121,169479,181386,240947,137803,114860,101414,38099,23155,288726,14531,7210,8947
6047,Merced County,125240,6037366,4580773,166590,268444,439624,458118,152488,133446,73361,48835,550677,62948,26730,43504
6049,Modoc County,3710,163283,106286,6621,6677,27675,7325,9670,3878,846,1190,14565,1445,690,840
6051,Mono County,6890,466712,293544,32671,30547,39916,35926,13403,24562,9071,3845,59113,1253,730,1007
6053,Monterey County,219180,14931821,9754391,501356,1213163,1020535,803953,446766,741921,335793,194762,1958278,67566,31120,57909
6055,Napa County,70570,7503707,4260719,306233,966902,491943,255065,221190,709107,177433,127102,1323375,10467,5930,8266
6057,Nevada County,53960,4472185,2373019,258007,578723,476840,184222,208230,207862,96400,53524,649443,10040,5960,6043
6059,Orange County,1629120,157118370,100548389,4434674,16278875,7778746,6494472,3559323,14265088,4243223,3009315,26099029,351745,189100,234255
6061,Placer County,203370,20542478,13336494,697224,1416825,1884384,598572,737154,1397582,550817,283077,3088912,28087,15660,19824
6063,Plumas County,9480,588232,318934,32910,37879,94664,25982,35856,14095,7900,4823,66226,2430,1270,1364
6065,Riverside County,1164990,69863603,50196000,1982041,2809686,5583175,4583284,2066376,2656699,1851571,945206,7562455,457462,204600,282399
6067,Sacramento County,776360,52820923,37493027,1595006,2121196,5133297,2604240,1649259,1996484,1055359,556763,6431366,247409,115150,148720
6069,San Benito County,32950,2497180,1917939,57020,76914,159227,122217,62170,52541,94046,24024,304775,7828,3880,5617
6071,San Bernardino Count,1047840,58661247,43892953,1657824,1729380,4295495,3690724,1302109,2495965,1359420,792924,6068102,475789,206750,279963
6073,San Diego County,1715560,147053126,99562125,4019160,13841175,9213538,6153995,3509414,8281670,3711162,2201590,22198352,442644,221720,273376
6075,San Francisco County,456180,84620528,52969134,2059216,18244630,1814995,1979739,886715,3787396,1059824,2715856,19179131,56476,36450,29422
6077,San Joaquin County,367820,23084423,17231881,621011,903523,1731594,1367020,600709,662532,480483,230174,2554465,135725,60950,91503
6079,San Luis Obispo Coun,141380,11269681,6546062,481292,980928,1306695,424617,503953,764605,299848,144406,1579516,23074,13260,16753
6081,San Mateo County,386680,85530462,51292881,2098190,18647272,2227981,1346933,1133608,3701679,1425830,2552944,19292259,39766,24050,29067
6083,Santa Barbara County,217090,20850313,10675426,682952,5219097,1196184,661620,558562,888315,401169,495202,3528879,50823,25730,47235
6085,Santa Clara County,952970,185020296,126671196,3356606,34188979,3856885,3042311,2050337,5261202,3012687,6721309,39080452,117217,68420,81130
6087,Santa Cruz County,136000,13875797,9064516,512729,1324283,843809,484457,379405,763995,338947,147512,2163068,26021,14330,18112
6089,Shasta County,85010,4965852,3257464,193252,229607,564772,236843,218639,181256,67358,51325,550086,27122,13500,16520
6091,Sierra County,1360,77483,47140,2408,3543,13155,4016,4775,971,878,421,7527,235,160,153
6093,Siskiyou County,20890,1067562,635952,49144,63208,157446,58356,55844,44720,9237,8914,110177,7207,3430,4223
6095,Solano County,228350,16326047,11948217,324814,472074,1724615,721895,564539,318768,458183,180229,1888070,49305,25320,32594
6097,Sonoma County,257570,22666805,13912405,1043021,2332924,1696215,856699,823128,1306892,562262,291695,3417447,37126,21540,29157
6099,Stanislaus County,257070,14763842,10937722,445086,575800,1104759,942373,406956,531192,232127,154270,1572250,100891,45250,66789
6101,Sutter County,45530,2588927,1836775,103335,103132,234096,170127,85452,102920,32229,23264,268984,17196,7940,11886
6103,Tehama County,28700,1429372,1031768,49388,78264,162325,75399,60441,33714,13135,8344,142491,11701,5160,7999
6105,Trinity County,5030,248634,130869,14529,14593,38562,11938,13888,8563,2522,1304,26529,1710,900,938
6107,Tulare County,209820,10210912,7497209,308237,598825,742860,840199,248881,403031,127432,111612,1003985,126062,51220,82468
6109,Tuolumne County,27020,1732179,970696,55270,165323,245466,87798,93660,58776,26140,20725,201102,5795,3230,3481
6111,Ventura County,433310,37316597,24661682,1188794,3079662,2560006,1480108,1078397,2503519,1099597,509228,5518467,96595,49950,73077
6113,Yolo County,99100,7922477,5365606,234883,394953,772216,272661,236643,422593,151106,90730,1060507,23400,11720,15064
6115,Yuba County,35520,1838063,1431773,41303,37511,162329,117704,53542,24967,28741,12738,156183,16187,7000,11136
8001,Adams County,261180,16233772,12608950,536686,517823,841667,536058,331200,626429,298181,107230,1744137,82773,36620,57681
8003,Alamosa County,7370,371807,257999,9449,12985,34005,9973,10704,19088,1585,2708,37211,3530,1570,2216
8005,Arapahoe County,336820,29854167,19752133,895326,3070222,1471431,747002,674130,1434916,508680,437858,4534559,83553,40110,54775
8007,Archuleta County,7360,481859,232292,26660,42783,65240,14813,26816,32583,6472,6449,59630,2193,1150,1300
8009,Baca County,1590,53228,43892,2592,3994,5679,580,3325,4632,0,280,6503,735,310,502
8011,Bent County,2280,71226,48215,1912,2752,9420,1363,2420,3508,0,0,6296,915,400,525
8013,Boulder County,165130,19842739,11800772,627432,3548978,864848,328384,432570,1277130,342878,391629,3496727,21424,13310,14385
